# compilers/MANIFEST.tsv -- one row per bebop.bin that was ever promoted into this tree.
# Columns: digest source_commit source_md5 date fixpoint note
#   digest        md5sum of the binary, first 8 hex chars (the identity used everywhere else)
#   source_commit the commit whose bebop.bin IS this binary (`git log -- bebop-lang/bebop.bin`)
#   source_md5    md5-8 of bebop.bp AT that commit -- the source the binary was built from
#   fixpoint      yes | no | unverified. `yes` means a MEASURED compile(bebop.bp) == digest.
#                 `unverified` is the honest value for a historical row nobody re-compiled;
#                 it is never a synonym for `yes`.
# Written by tools/bebopc.sh save/promote; read by tools/hooks/pre-commit (Guard 1b).
digest	source_commit	source_md5	date	fixpoint	note
1d1e634f	d75172c	2797db3c	2026-09-12	yes	promoted 2026-09-12 by the main session; measured fixpoint gen3 == gen4 == 1d1e634f in a 516 s chain, and tools/arch_check.py artifact-identity agrees
08cd9e46	a209f70	6e807b00	2026-09-12	no	promoted at a209f70 against bebop.bp 6e807b00 and UNCHAINED by 05fcc0f, which moved bebop.bp to 2797db3c without re-promoting; compile(bebop.bp) was then 2822d7b5 and the fixpoint 1d1e634f -- three live digests at once, and every number measured in between was measured against an artifact no source produced
7c7d1f77	a18fa8b	unverified	2026-09-12	unverified	re-promotion that a18fa8b performed ("the promoted compiler was not the source's compiler -- re-promote 7c7d1f77"); its own message claims the fixpoint, nobody has re-measured it since
292b8953	e5b64f7	unverified	2026-09-12	no	the binary a18fa8b replaced: e5b64f7 reverted A7 step 2 in the SOURCE and committed a binary built BEFORE the revert, so it shipped a `parallel region: too many live symbols` diagnostic (exit 103) that no source file contains
f0747bfc	aba5a82+dirty	24869655	2026-09-13	yes	promoted 2026-09-13: emit_sys_mapb refuses with 108 instead of emitting an openat whose FLAGS argument was the path length; +dirty because the pair lands in the next commit
9f744a99	aba5a82+dirty	37ca3be8	2026-09-13	yes	promoted from candidate
7bdc0f11	90653bb+dirty	6a004560	2026-09-13	yes	A19 step 1: sys_clone refuses > 8 kept symbols (exit 109). Fixpoint gen3 == gen4 == 7bdc0f11, re-derived in the main session; the handoff had cited this digest as if it were a commit (git cat-file -t says it is not). battery GREEN, invariants GREEN after re-freezing census (bebop bcond 1216 -> 1219, measured by five additive arms). All 25 sys_clone callers compiled against the pre-A19 compiler as a control: no working program is refused
f636d4a3	332602c+dirty	4c230d2f	2026-09-13	yes	A17 steps 1+4: the 15 compile-time diagnostic texts become str literals (diag_str) and every compiler exit gains an error[E<code>]: token. Fixpoint gen3 == gen4 == f636d4a3, battery GREEN, invariants GREEN. words 43513 -> 42491 (-1022), bcond 1219 -> 1203 (-16), cbz 124 -> 125 (+1 = str_len's zero-test, pinned by five arms). 15/15 texts now byte-present in the binary, was 0
10b36b9d	ef4c37f+dirty	8b0c5c35	2026-09-13	yes	A17 follow-on: codes 64, 88 and 90 gain diagnostics via cli_exit, and cli_compile's SOURCE open gains the guard it never had (a mistyped source used to compile an empty program and exit 0). Fixpoint gen3 == gen4 == 10b36b9d. diag 19 pass 0 fail (3 new CLI-exit assertions), trap_census --texts reaches 18/18/18/18 rc=0
0780f16f	d9890da+dirty	a5ccacc2	2026-09-13	yes	A24 step 1: a top-level test block is skipped by brace matching in collect_fns, scan_literals, find_struct and find_enum, so it costs zero bytes under compile/check. Fixpoint gen3 == gen4 == 0780f16f; c133/c134/c135 each byte-identical to their twin at 724 bytes; construct parity 111 -> 113 pass 0 fail no_expect=0
89f889a4	3db5a73+dirty	c990d22b	2026-09-13	yes	ROADMAP F8 step 0 compiler half: scan_inert refuses garbage in the requires/ensures and top-level theorem positions with exit 110; f8_dt ratchet 4 -> 0, all four positive probes still compile (7/10/42/7), diag_texts 18 -> 19 codes, 544-file control arm changed only the SUPERSEDED samples/theorem-sample.bp; battery GREEN, invariants GREEN
7702eafb	75e9d9a+dirty	a927cbec	2026-09-13	yes	fractions and module contents refused: emit_num -> diag_exit(111) on a decimal point, scan_nonspace -> diag_exit(112) on a non-empty module body. Fixpoint-green rebuild gen2==gen3==gen4==7702eafb; trap census 21/21/21/21; 5 new constructs MATCH.
072c01d1	3ddf332+dirty	c6bcd3a2	2026-09-13	yes	src_slurp_cap() as one definition plus a loud E113 at all four slurp sites: a source at or over the 400000-byte cap was silently truncated and surfaced as E97 at a line past EOF. Boundary pinned 399999 rc=0 / 400000 rc=113. Fixpoint gen2==gen3==gen4==072c01d1.
c9d826c8	8fcf0a7+dirty	ed5713f9	2026-09-14	yes	A18 step 1: return/break as expressions (emit_return_core/emit_break_core, emit_factor dispatch, jump lists fntab[5247..5284] -> 5601..5730, caps 17/18 -> 64/64) PLUS the lit_table overflow guard exit 114 in scan_one_lit and its E114 message row in diag_exit. fixpoint gen3 == gen4 == c9d826c8; c124_condreturn MATCH 1257028 hand-derived; WORD_DELTA 0 on 120/120 pre-existing constructs; diag 19/0; construct parity 121/0/0; trap_verify 17/17
